Unnamed: 0,frame,type,index,x,y
0,0,right_head,1,0.5297935372608203,0.20197329663135374
1,0,right_head,2,0.5096075156211891,0.20315743722028098
2,0,right_head,3,0.49674101390880987,0.20339393211971799
3,0,right_head,7,0.47298267989489073,0.2214408399892168
4,0,right_head,9,0.4912581709777295,0.2795318824488905
5,0,left_head,0,0.5352051061786961,0.24265011516953908
6,0,left_head,4,0.5716665319463967,0.2095297756639801
7,0,left_head,5,0.5764860076128647,0.2120097144881485
8,0,left_head,6,0.5890713272997585,0.22078015311832064
9,0,left_head,8,0.5996247986294572,0.2628664970774065
10,0,left_head,10,0.5467734381971382,0.29305832060781634
11,0,right_arm,11,0.3237218654154028,0.4146444647036587
12,0,right_arm,13,0.19637170526732015,0.6950806112328466
13,0,right_arm,15,0.12753330889016343,0.9281417101132924
14,0,right_arm,17,0.10011458709325807,1.0046359949340622
15,0,right_arm,19,0.1212075393546215,1.0005683221334227
16,0,right_arm,21,0.13956496135801308,0.9646782273246178
17,0,right_arm,23,0.21430648771942992,0.9784458693226654
18,0,left_arm,12,0.6165992620946076,0.5046763456648322
19,0,left_arm,14,0.5733821395654194,0.8170035912051656
20,0,left_arm,16,0.46377367101174694,0.9967428617977981
21,0,left_arm,18,0.4398423267490751,1.0813570700103214
22,0,left_arm,20,0.42886438258068316,1.0450252525547188
23,0,left_arm,22,0.42636296527033524,1.020192500319123
24,0,left_arm,24,0.4073859933544365,1.0275354382444493
25,0,left_hand,0,,
26,0,left_hand,1,,
27,0,left_hand,2,,
28,0,left_hand,3,,
29,0,left_hand,4,,
30,0,left_hand,5,,
31,0,left_hand,6,,
32,0,left_hand,7,,
33,0,left_hand,8,,
34,0,left_hand,9,,
35,0,left_hand,10,,
36,0,left_hand,11,,
37,0,left_hand,12,,
38,0,left_hand,13,,
39,0,left_hand,14,,
40,0,left_hand,15,,
41,0,left_hand,16,,
42,0,left_hand,17,,
43,0,left_hand,18,,
44,0,left_hand,19,,
45,0,left_hand,20,,
46,0,right_hand,0,,
47,0,right_hand,1,,
48,0,right_hand,2,,
49,0,right_hand,3,,
50,0,right_hand,4,,
51,0,right_hand,5,,
52,0,right_hand,6,,
53,0,right_hand,7,,
54,0,right_hand,8,,
55,0,right_hand,9,,
56,0,right_hand,10,,
57,0,right_hand,11,,
58,0,right_hand,12,,
59,0,right_hand,13,,
60,0,right_hand,14,,
61,0,right_hand,15,,
62,0,right_hand,16,,
63,0,right_hand,17,,
64,0,right_hand,18,,
65,0,right_hand,19,,
66,0,right_hand,20,,
67,1,right_head,1,0.5228757346984856,0.19150234052984996
68,1,right_head,2,0.5112223628191067,0.1985543811898919
69,1,right_head,3,0.5011246371404832,0.18664596775854855
70,1,right_head,7,0.4726665846704393,0.22046242189077933
71,1,right_head,9,0.5021272495878236,0.2762052841151261
72,1,left_head,0,0.5298577108484085,0.23714248506482252
73,1,left_head,4,0.5687234820978495,0.20676350219055153
74,1,left_head,5,0.5799719074789169,0.21543277553626453
75,1,left_head,6,0.5879108505284782,0.21638895159267366
76,1,left_head,8,0.6056126373083427,0.26562415210563983
77,1,left_head,10,0.5467338024028866,0.2930806485173769
78,1,right_arm,11,0.32642749736466914,0.4078059870412192
79,1,right_arm,13,0.17478524326386533,0.7124032756033544
80,1,right_arm,15,0.1256133253514499,0.9489155699410062
81,1,right_arm,17,0.09171878671885139,1.0108810168079565
82,1,right_arm,19,0.11326845319917386,1.0103935279501854
83,1,right_arm,21,0.13140303731309091,0.9851839542771869
84,1,right_arm,23,0.2201019264258711,0.9685418874769417
85,1,left_arm,12,0.6174197181829487,0.4993360890823896
86,1,left_arm,14,0.5668551263879023,0.8079143301372953
87,1,left_arm,16,0.477721128944784,0.9944224766955002
88,1,left_arm,18,0.44735240473752924,1.0739828436376169
89,1,left_arm,20,0.44241677339368535,1.0408522059539511
90,1,left_arm,22,0.44214838806365186,1.0114905970542682
91,1,left_arm,24,0.40449650987573504,1.023801914273537
92,1,left_hand,0,,
93,1,left_hand,1,,
94,1,left_hand,2,,
95,1,left_hand,3,,
96,1,left_hand,4,,
97,1,left_hand,5,,
98,1,left_hand,6,,
99,1,left_hand,7,,
100,1,left_hand,8,,
101,1,left_hand,9,,
102,1,left_hand,10,,
103,1,left_hand,11,,
104,1,left_hand,12,,
105,1,left_hand,13,,
106,1,left_hand,14,,
107,1,left_hand,15,,
108,1,left_hand,16,,
109,1,left_hand,17,,
110,1,left_hand,18,,
111,1,left_hand,19,,
112,1,left_hand,20,,
113,1,right_hand,0,,
114,1,right_hand,1,,
115,1,right_hand,2,,
116,1,right_hand,3,,
117,1,right_hand,4,,
118,1,right_hand,5,,
119,1,right_hand,6,,
120,1,right_hand,7,,
121,1,right_hand,8,,
122,1,right_hand,9,,
123,1,right_hand,10,,
124,1,right_hand,11,,
125,1,right_hand,12,,
126,1,right_hand,13,,
127,1,right_hand,14,,
128,1,right_hand,15,,
129,1,right_hand,16,,
130,1,right_hand,17,,
131,1,right_hand,18,,
132,1,right_hand,19,,
133,1,right_hand,20,,
134,2,right_head,1,0.532405865426274,0.20021026780129467
135,2,right_head,2,0.5218993961101351,0.19548879568242164
136,2,right_head,3,0.5113612939464225,0.18755666699607867
137,2,right_head,7,0.4712872833468714,0.20795169080321727
138,2,right_head,9,0.5061997202381652,0.27143541122289705
139,2,left_head,0,0.5486368422505603,0.2338516488618325
140,2,left_head,4,0.5728083839105375,0.21063547096859744
141,2,left_head,5,0.5833237844772001,0.21292528579634182
142,2,left_head,6,0.5991591977034506,0.21243518035467043
143,2,left_head,8,0.602045562847676,0.2533654395021141
144,2,left_head,10,0.554151886980991,0.29232381427750986
145,2,right_arm,11,0.32632657384544694,0.41122726085562156
146,2,right_arm,13,0.1833751066501065,0.7197248852486443
147,2,right_arm,15,0.12248432268637763,0.9568839019525676
148,2,right_arm,17,0.0903962443294318,1.0378028458793023
149,2,right_arm,19,0.10801718814234504,1.019255555277079
150,2,right_arm,21,0.13410601711883044,0.9942244874039642
151,2,right_arm,23,0.21757981844671834,0.9787758083803607
152,2,left_arm,12,0.611900515813049,0.5057093736211075
